id,name,lon,lat
1,Gate near: NY 37494 05457,-2.9652633,54.440657
2,Gate near: NY 33018 07058,-3.0346329,54.454476
3,Gate near: NY 30794 05534,-3.068571,54.440479
4,Gate near: SD 41328 79020,-2.9009496,54.203555
5,Gate near: SD 70072 86980,-2.4611273,54.277584
6,Gate near: SD 69462 87789,-2.4705686,54.284813
7,Gate near: SD 69484 87898,-2.4702546,54.285792
8,Gate near: NY 45128 04200,-2.8473419,54.430246
9,Gate near: NY 45297 04505,-2.8447957,54.433011
10,Gate near: NY 46305 04773,-2.8293158,54.435522
11,Gate near: NY 34505 04533,-3.0111456,54.431982
12,Gate near: NY 34342 04536,-3.0136604,54.431983
13,Gate near: NY 34207 03670,-3.0155506,54.424182
14,Gate near: NY 34066 03495,-3.0176802,54.422599
15,Gate near: NY 29576 06053,-3.087471,54.44498
16,Gate near: NY 29690 06088,-3.0857319,54.44531
17,Gate near: NY 46922 10721,-2.8208729,54.489035
18,Gate near: NY 44004 00947,-2.8640477,54.400892
19,Gate near: NY 44195 01284,-2.8611802,54.403938
20,Gate near: NY 44274 01535,-2.8600121,54.406209
21,Gate near: NY 43725 04360,-2.8690067,54.431533
22,Gate near: NY 45037 04462,-2.8487985,54.432589
23,Gate near: NY 44205 01828,-2.8611187,54.408834
24,Gate near: NY 44167 02140,-2.8617656,54.411631
25,Gate near: NY 45433 01376,-2.8421318,54.4049
26,Gate near: NY 48493 05132,-2.7956381,54.438978
27,Gate near: NY 47592 04975,-2.809503,54.437469
28,Gate near: NY 46798 04843,-2.821726,54.436205
29,Gate near: NY 41534 02104,-2.9023232,54.411011
30,Gate near: NY 31820 08650,-3.0534793,54.468623
31,Gate near: NY 32220 08484,-3.0472757,54.467185
32,Gate near: NY 37360 04399,-2.9671109,54.431138
33,Gate near: NY 32078 03938,-3.0484212,54.426312
34,Gate near: NY 31466 03880,-3.0578304,54.425707
35,Gate near: NY 30088 02938,-3.0788483,54.41706
36,Gate near: NY 31264 02956,-3.0607289,54.417383
37,Gate near: NY 32340 02867,-3.0441327,54.416727
38,Gate near: NY 32720 08378,-3.0395359,54.466294
39,Gate near: NY 33722 09369,-3.0243034,54.475332
40,Gate near: NY 38089 15608,-2.9582307,54.531948
41,Gate near: NY 37627 15278,-2.9653002,54.528925
42,Gate near: NY 37108 14991,-2.9732469,54.526282
43,Gate near: NY 37404 15141,-2.9687085,54.527666
44,Gate near: NY 33671 09265,-3.0250617,54.474394
45,Gate near: SD 48262 98857,-2.7981148,54.382566
46,Gate near: SD 48124 99221,-2.8002928,54.385824
47,Gate near: SD 47147 99838,-2.8154475,54.391263
48,Gate near: SD 46956 99360,-2.8183108,54.38695
49,Gate near: NY 36530 14840,-2.9821534,54.524856
50,Gate near: NY 37075 15330,-2.9738375,54.52932
51,Gate near: NY 35657 00028,-2.9924092,54.391651
52,Gate near: NY 35845 00084,-2.9895355,54.392175
53,Gate near: NY 36109 00336,-2.9855172,54.394475
54,Gate near: NY 36312 00581,-2.9824429,54.396701
55,Gate near: NY 36659 00797,-2.9771386,54.398681
56,Gate near: NY 36915 00962,-2.9732464,54.400198
57,Gate near: NY 33343 23535,-3.0333494,54.602566
58,Gate near: NY 37278 15082,-2.970655,54.527124
59,Gate near: NY 33571 07842,-3.0262907,54.461589
60,Gate near: NY 37251 15065,-2.9710624,54.526965
61,Gate near: NY 27312 12824,-3.1240422,54.505495
62,Gate near: NY 27135 12444,-3.1266817,54.502054
63,Gate near: NY 37292 15042,-2.9704272,54.526762
64,Gate near: NY 28811 06165,-3.0992932,54.445879
65,Gate near: NY 38535 15272,-2.9512725,54.528983
66,Gate near: NY 27118 05299,-3.1251796,54.437853
67,Gate near: SD 35479 99139,-2.994959,54.383634
68,Gate near: NY 27295 05696,-3.1225464,54.441445
69,Gate near: NY 35029 22693,-3.0070722,54.595224
70,Gate near: NY 31656 23095,-3.059359,54.598393
71,Gate near: NY 31999 23386,-3.0541217,54.601056
72,Gate near: NY 29139 23727,-3.0984603,54.603719
73,Gate near: NY 34171 04913,-3.0163796,54.43535
74,Gate near: NY 34118 05032,-3.0172215,54.436414
75,Gate near: NY 34729 04061,-3.0075836,54.427767
76,Gate near: SD 38573 99348,-2.9473728,54.3859
77,Gate near: SD 38783 97043,-2.9436629,54.365214
78,Gate near: NY 37560 00462,-2.9631936,54.395785
79,Gate near: NY 37616 00391,-2.9623208,54.395156
80,Gate near: SD 43253 97805,-2.8750259,54.372577
81,Gate near: SD 39729 87624,-2.9271954,54.280688
82,Gate near: SD 39863 87548,-2.9251192,54.280019
83,Gate near: SD 40425 87204,-2.9164192,54.276995
84,Gate near: SD 41338 85949,-2.902154,54.265819
85,Gate near: SD 39494 87737,-2.9308341,54.281671
86,Gate near: SD 39933 86169,-2.9237763,54.267632
87,Gate near: SD 39960 86196,-2.9233627,54.26788
88,Gate near: SD 40950 85859,-2.9081019,54.26497
89,Gate near: SD 29536 96688,-3.0858659,54.360825
90,Gate near: SD 29515 96715,-3.0861882,54.361066
91,Gate near: SD 29570 96799,-3.0853642,54.361829
92,Gate near: SD 29581 96852,-3.0852132,54.362302
93,Gate near: SD 29606 96891,-3.0848354,54.362655
94,Gate near: SD 29591 97296,-3.085159,54.366299
95,Gate near: SD 29435 97493,-3.0876151,54.368042
96,Gate near: NY 27629 05685,-3.1174047,54.441396
97,Gate near: NY 17178 58136,-3.2933949,54.911038
98,Gate near: SD 51500 88413,-2.746557,54.289028
99,Gate near: SD 72037 83250,-2.4306013,54.244166
100,Gate near: SD 72070 83648,-2.430125,54.247751
101,Gate near: NY 26002 15131,-3.1448504,54.526032
102,Gate near: NY 28876 16534,-3.1007996,54.539057
103,Gate near: SD 45610 78553,-2.8352339,54.199825
104,Gate near: NY 17002 00048,-3.2796364,54.389122
105,Gate near: NY 15703 00056,-3.2996426,54.388986
106,Gate near: NY 15599 00039,-3.3012367,54.388812
107,Gate near: SD 15384 99875,-3.3045036,54.3873
108,Gate near: NY 28848 29027,-3.1042565,54.651305
109,Gate near: NY 28135 25373,-3.1144183,54.618373
110,Gate near: NY 27468 25002,-3.1246408,54.614936
111,Gate near: NY 31268 24846,-3.0657781,54.614069
112,Gate near: NY 08618 18471,-3.4144054,54.5532
113,Gate near: NY 32533 03458,-3.0412986,54.422063
114,Gate near: NY 31578 04484,-3.0562468,54.431157
115,Gate near: NY 33642 05680,-3.0246962,54.44217
116,Gate near: NY 30846 02659,-3.0670978,54.414655
117,Gate near: NY 30961 02088,-3.0651937,54.409539
118,Gate near: NY 30997 01880,-3.064595,54.407676
119,Gate near: NY 31654 01397,-3.054355,54.40343
120,Gate near: NY 31837 02699,-3.051837,54.415147
121,Gate near: NY 31801 01979,-3.0522335,54.408672
122,Gate near: NY 31822 03124,-3.0521722,54.418966
123,Gate near: NY 31877 02872,-3.0512712,54.416708
124,Gate near: NY 33666 03258,-3.0237911,54.420412
125,Gate near: NY 34933 27215,-3.0095674,54.635845
126,Gate near: NY 35482 27357,-3.0010966,54.637193
127,Gate near: NY 35873 27603,-2.9950959,54.639448
128,Gate near: NY 35940 27874,-2.9941077,54.641894
129,Gate near: SD 19717 88324,-3.2346815,54.284222
130,Gate near: NY 17017 24672,-3.2863351,54.610365
131,Gate near: NY 25099 18271,-3.1595968,54.55412
132,Gate near: NY 54836 52163,-2.7051378,54.862203
133,Gate near: NY 54823 51932,-2.7053094,54.860123
134,Gate near: NY 36551 32490,-2.9856549,54.683451
135,Gate near: NY 71719 36361,-2.4405765,54.721442
136,Gate near: NY 65786 33559,-2.5323561,54.69589
137,Gate near: NY 69681 29546,-2.4715155,54.660083
138,Gate near: NY 20673 24504,-3.2296981,54.609447
139,Gate near: NY 06200 14410,-3.4504827,54.516279
140,Gate near: NY 39716 21084,-2.9342225,54.581345
141,Gate near: NY 39954 21099,-2.9305311,54.581512
142,Gate near: SD 21287 62341,-3.2037664,54.050998
143,Gate near: SD 50905 87470,-2.7555335,54.280494
144,Gate near: SD 64667 90723,-2.544577,54.310868
145,Gate near: SD 66685 89272,-2.5133931,54.297972
146,Gate near: SD 64988 90476,-2.5396015,54.308677
147,Gate near: NX 94567 13443,-3.6297607,54.505301
148,Gate near: NX 94561 13450,-3.629862,54.505358
149,Gate near: NX 94129 14411,-3.6368702,54.513905
150,Gate near: NX 97943 14251,-3.5779356,54.51325
151,Gate near: NX 98312 14005,-3.5721493,54.511113
152,Gate near: NY 05942 14364,-3.4544614,54.515818
153,Gate near: NY 08542 15283,-3.414595,54.524549
154,Gate near: NY 09034 15103,-3.406936,54.523017
155,Gate near: NY 14557 14124,-3.3213544,54.515186
156,Gate near: NY 25462 14131,-3.1529406,54.516972
157,Gate near: NY 26092 14517,-3.1433102,54.520533
158,Gate near: NY 26961 13338,-3.1295933,54.510068
159,Gate near: NY 48679 15483,-2.7945737,54.532008
160,Gate near: NY 50556 16138,-2.7656838,54.538078
161,Gate near: NY 53826 15765,-2.715092,54.535038
162,Gate near: NY 63143 08488,-2.5702019,54.470411
163,Gate near: NY 64261 08257,-2.5529302,54.468411
164,Gate near: NY 64348 08272,-2.5515925,54.468554
165,Gate near: NY 67549 06947,-2.5020469,54.456867
166,Gate near: NY 72437 05970,-2.4265715,54.44837
167,Gate near: NY 72703 06154,-2.4224832,54.45004
168,Gate near: NY 79920 07515,-2.3112844,54.462612
169,Gate near: NY 23494 12062,-3.1828028,54.498091
170,Gate near: NY 23464 11880,-3.183215,54.496452
171,Gate near: NY 23492 11328,-3.1826337,54.491488
