id,name,lon,lat
1,Kissing Gate near: SD 39901 79891,-2.9230041,54.211219
2,Kissing Gate near: SD 70422 87226,-2.4557761,54.279813
3,Kissing Gate near: SD 69364 87477,-2.4720417,54.282001
4,Kissing Gate near: NX 94761 13088,-3.6266496,54.50215
5,Kissing Gate near: NY 35944 06039,-2.9892853,54.445693
6,Kissing Gate near: NY 36051 14316,-2.9894336,54.520083
7,Kissing Gate near: NY 38255 17108,-2.9559751,54.545448
8,Kissing Gate near: NY 38520 17094,-2.9518827,54.545348
9,Kissing Gate near: NY 25559 26278,-3.1545168,54.626127
10,Kissing Gate near: NY 27142 05305,-3.124823,54.437915
11,Kissing Gate near: NY 28660 05696,-3.1015079,54.441646
12,Kissing Gate near: SD 39024 87732,-2.9380521,54.281568
13,Kissing Gate near: SD 51063 86658,-2.7529742,54.273213
14,Kissing Gate near: SD 51486 87438,-2.7466099,54.280267
15,Kissing Gate near: SD 51512 90002,-2.7466259,54.303307
16,Kissing Gate near: NY 28112 22297,-3.1140067,54.590727
17,Kissing Gate near: NY 28085 25330,-3.1151778,54.617975
18,Kissing Gate near: NY 28758 05593,-3.0999749,54.440729
19,Kissing Gate near: NY 34179 03177,-3.0158642,54.419752
20,Kissing Gate near: NX 95069 12302,-3.6216116,54.495156
21,Kissing Gate near: NX 94209 13639,-3.6353659,54.506982
22,Kissing Gate near: NX 94079 14011,-3.637494,54.510304
23,Kissing Gate near: NY 00766 13923,-3.5342356,54.510869
24,Kissing Gate near: NY 39367 15755,-2.9385171,54.533424
25,Kissing Gate near: SD 30491 97846,-3.0714445,54.371362
26,Kissing Gate near: SD 32536 99918,-3.0404393,54.39025
27,Kissing Gate near: SD 53327 76542,-2.7166427,54.182517
28,Kissing Gate near: SD 53445 76297,-2.7147967,54.180331
29,Kissing Gate near: SD 47839 97741,-2.8044211,54.372489
30,Kissing Gate near: SD 47835 97708,-2.8044748,54.372198
31,Kissing Gate near: SD 47780 97594,-2.8053083,54.371163
32,Kissing Gate near: SD 23998 96816,-3.1711103,54.361179
33,Kissing Gate near: NY 25339 18563,-3.1559727,54.556778
34,Kissing Gate near: NY 16577 18632,-3.2914328,54.556026
35,Kissing Gate near: NY 28286 25572,-3.1121162,54.620177
36,Kissing Gate near: NY 00945 10223,-3.5302224,54.477661
37,Kissing Gate near: SD 37998 85129,-2.9532571,54.258054
38,Kissing Gate near: SD 32246 91026,-3.0428796,54.310314
39,Kissing Gate near: SD 32162 90454,-3.0440371,54.305163
40,Kissing Gate near: NY 43999 19827,-2.8677192,54.570548
41,Kissing Gate near: SD 32088 99852,-3.0473202,54.389603
42,Kissing Gate near: SD 31994 99803,-3.0487619,54.389151
43,Kissing Gate near: SD 31310 99102,-3.0591261,54.382761
44,Kissing Gate near: SD 33950 98441,-3.0183361,54.377165
45,Kissing Gate near: NY 33070 07766,-3.0340015,54.460842
46,Kissing Gate near: SD 41207 96744,-2.9062959,54.362812
47,Kissing Gate near: SD 41013 96568,-2.909258,54.361209
48,Kissing Gate near: SD 41329 96990,-2.9044741,54.36503
49,Kissing Gate near: SD 41262 96831,-2.9054748,54.363601
50,Kissing Gate near: SD 41117 96667,-2.9076699,54.362108
51,Kissing Gate near: SD 40764 96656,-2.9130973,54.361967
52,Kissing Gate near: SD 61604 78569,-2.5900803,54.201425
53,Kissing Gate near: SD 61519 78254,-2.5913499,54.198585
54,Kissing Gate near: SD 55000 78689,-2.6913349,54.201964
55,Kissing Gate near: SD 49633 91181,-2.7756951,54.313725
56,Kissing Gate near: NY 31993 03679,-3.0496701,54.423977
57,Kissing Gate near: NY 33318 03144,-3.0291253,54.419343
58,Kissing Gate near: NY 46029 04639,-2.8335466,54.434288
59,Kissing Gate near: SD 41936 96373,-2.8950131,54.359556
60,Kissing Gate near: SD 41755 96671,-2.897855,54.362221
61,Kissing Gate near: SD 41594 96693,-2.9003341,54.362399
62,Kissing Gate near: SD 41747 96680,-2.8979852,54.362298
63,Kissing Gate near: SD 41110 96588,-2.9077658,54.361399
64,Kissing Gate near: SD 41607 96693,-2.9001326,54.362399
65,Kissing Gate near: SD 52993 80389,-2.722356,54.217057
66,Kissing Gate near: SD 67304 92140,-2.5041962,54.323782
67,Kissing Gate near: SD 67435 92183,-2.5021835,54.324175
68,Kissing Gate near: SD 67547 92247,-2.5004673,54.324758
69,Kissing Gate near: SD 67104 92676,-2.5073291,54.328587
70,Kissing Gate near: SD 65327 91509,-2.534524,54.317982
71,Kissing Gate near: SD 65520 91753,-2.5315744,54.320185
72,Kissing Gate near: SD 49066 81139,-2.7827032,54.223422
73,Kissing Gate near: SD 45846 76655,-2.8312719,54.182801
74,Kissing Gate near: SD 70455 87293,-2.4552667,54.280413
75,Kissing Gate near: SD 49855 82798,-2.7708816,54.238407
76,Kissing Gate near: SD 42084 98149,-2.8930774,54.375537
77,Kissing Gate near: SD 51591 90549,-2.7455121,54.308232
78,Kissing Gate near: SD 51735 90670,-2.7433168,54.309335
79,Kissing Gate near: NY 34000 07654,-3.0196217,54.45996
80,Kissing Gate near: NY 34021 07787,-3.0193376,54.461159
81,Kissing Gate near: NY 34026 07868,-3.0192733,54.461888
82,Kissing Gate near: SD 66298 81437,-2.5184569,54.227533
83,Kissing Gate near: NY 27004 17585,-3.1299879,54.548234
84,Kissing Gate near: SD 31982 97878,-3.0485021,54.37185
85,Kissing Gate near: SD 31896 97841,-3.0498189,54.371509
86,Kissing Gate near: SD 31950 97137,-3.0488294,54.365183
87,Kissing Gate near: NY 26586 18328,-3.1366319,54.554846
88,Kissing Gate near: NY 26795 18156,-3.1333603,54.55333
89,Kissing Gate near: NY 27092 14986,-3.127985,54.524896
90,Kissing Gate near: SD 29858 79290,-3.0768218,54.204533
91,Kissing Gate near: SD 29077 94381,-3.0923835,54.34003
92,Kissing Gate near: SD 49918 93531,-2.7717236,54.334872
93,Kissing Gate near: SD 28664 79636,-3.0952108,54.207483
94,Kissing Gate near: SD 29365 78806,-3.0842694,54.200121
95,Kissing Gate near: NY 25007 21767,-3.1619192,54.585512
96,Kissing Gate near: SD 36896 87759,-2.9707323,54.281551
97,Kissing Gate near: NY 18277 00253,-3.2600629,54.391171
98,Kissing Gate near: NY 20326 00715,-3.2286399,54.395648
99,Kissing Gate near: SD 19668 93399,-3.2367916,54.329808
100,Kissing Gate near: SD 38608 78893,-2.9426228,54.202093
101,Kissing Gate near: SD 38487 78849,-2.9444636,54.201679
102,Kissing Gate near: NY 11955 29885,-3.3662539,54.656343
103,Kissing Gate near: NY 31845 39803,-3.0603513,54.748535
104,Kissing Gate near: NY 32855 01851,-3.0359699,54.407669
105,Kissing Gate near: SD 49791 91871,-2.7733909,54.319938
106,Kissing Gate near: SD 52076 92322,-2.7383432,54.324207
107,Kissing Gate near: SD 31615 96995,-3.0539446,54.363867
108,Kissing Gate near: SD 27618 81837,-3.111778,54.227115
109,Kissing Gate near: SD 30164 96930,-3.0762549,54.363083
110,Kissing Gate near: NY 36580 04136,-2.9790848,54.428676
111,Kissing Gate near: NY 43347 20422,-2.8779203,54.575823
112,Kissing Gate near: SD 42990 96964,-2.8789028,54.364991
113,Kissing Gate near: SD 40983 80219,-2.9064786,54.214292
114,Kissing Gate near: SD 40843 80264,-2.9086368,54.21468
115,Kissing Gate near: NY 17803 16496,-3.2718769,54.537037
116,Kissing Gate near: NY 18007 16371,-3.2686979,54.535942
117,Kissing Gate near: NY 18256 16233,-3.264811,54.534747
118,Kissing Gate near: NY 18341 16131,-3.2634652,54.53384
119,Kissing Gate near: NY 18422 15985,-3.2621797,54.532546
120,Kissing Gate near: NY 16772 17503,-3.2880965,54.545912
121,Kissing Gate near: NY 15505 20438,-3.3085196,54.572075
122,Kissing Gate near: NY 37337 03391,-2.9672542,54.422074
123,Kissing Gate near: NY 37086 03554,-2.9711591,54.423506
124,Kissing Gate near: SD 66010 92824,-2.5241702,54.32984
125,Kissing Gate near: NY 37125 04336,-2.9707204,54.43054
126,Kissing Gate near: NY 30113 25557,-3.0838238,54.620303
127,Kissing Gate near: NY 29998 25457,-3.0855921,54.619385
128,Kissing Gate near: NY 11768 22500,-3.366929,54.589958
129,Kissing Gate near: SD 37567 90351,-2.9609726,54.304925
130,Kissing Gate near: SD 28958 78920,-3.0905276,54.201088
131,Kissing Gate near: SD 50799 86286,-2.756978,54.269843
132,Kissing Gate near: SD 29242 89194,-3.0886036,54.293444
133,Kissing Gate near: SD 29336 89280,-3.0871927,54.294227
134,Kissing Gate near: SD 33192 98912,-3.0301196,54.3813
135,Kissing Gate near: SD 33194 98927,-3.0300875,54.381435
136,Kissing Gate near: SD 34150 84038,-3.0120842,54.247772
137,Kissing Gate near: NY 35997 04114,-2.9880638,54.428406
138,Kissing Gate near: NY 33778 05679,-3.0226027,54.44218
139,Kissing Gate near: NY 28646 05638,-3.1017061,54.441122
140,Kissing Gate near: NY 32771 07587,-3.0385623,54.459197
141,Kissing Gate near: SD 09190 96543,-3.3988318,54.356295
142,Kissing Gate near: NY 28650 22404,-3.105712,54.591764
143,Kissing Gate near: NY 28614 22325,-3.1062444,54.591051
144,Kissing Gate near: SD 52959 77799,-2.7224681,54.19378
145,Kissing Gate near: SD 33941 98626,-3.0185195,54.378827
146,Kissing Gate near: SD 33942 98631,-3.0185104,54.378872
147,Kissing Gate near: SD 34372 98420,-3.0118398,54.377037
148,Kissing Gate near: SD 34473 98375,-3.0102747,54.376641
149,Kissing Gate near: SD 34649 98236,-3.007531,54.375418
150,Kissing Gate near: SD 34738 98217,-3.0061659,54.37526
151,Kissing Gate near: SD 33921 98172,-3.0187331,54.374744
152,Kissing Gate near: SD 34472 97879,-3.0101833,54.372182
153,Kissing Gate near: NY 22911 23191,-3.1947088,54.597997
154,Kissing Gate near: NY 30082 25529,-3.0843026,54.620047
155,Kissing Gate near: NY 32458 13640,-3.0447786,54.513539
156,Kissing Gate near: NY 27869 21541,-3.117587,54.583896
157,Kissing Gate near: NY 58015 64946,-2.6574863,54.977344
158,Kissing Gate near: SD 37996 95363,-2.9554198,54.350021
159,Kissing Gate near: SD 38375 93792,-2.949262,54.335944
160,Kissing Gate near: NY 55082 50250,-2.7010126,54.845033
161,Kissing Gate near: SD 26932 73933,-3.1203652,54.155989
162,Kissing Gate near: SD 27204 73312,-3.1160642,54.150453
