id,name,lon,lat
1,Stile near: SD41159 79176,-2.9035725,54.204938
2,Stile near: SD40196 79315,-2.9183642,54.20607
3,Stile near: SD39858 79190,-2.9235281,54.204907
4,Stile near: SD69427 86846,-2.4710161,54.276333
5,Stile near: SD69327 86819,-2.472542,54.27609
6,Stile near: NY31204 02992,-3.0616615,54.417696
7,Stile near: NY29153 06569,-3.0941154,54.449559
8,Stile near: NY32193 03779,-3.0466071,54.424902
9,Stile near: NY32225 03617,-3.0460827,54.423446
10,Stile near: NY32764 08684,-3.0389203,54.469047
11,Stile near: NY27954 12348,-3.1140144,54.501311
12,Stile near: NY29031 06213,-3.0959152,54.446337
13,Stile near: NY25543 26459,-3.1548225,54.627748
14,Stile near: SD41470 86297,-2.9001955,54.268963
15,Stile near: SD40371 85994,-2.917014,54.26611
16,Stile near: SD29505 97351,-3.0865054,54.366777
17,Stile near: SD34706 74260,-3.0014214,54.159978
18,Stile near: SD34971 75184,-2.9975713,54.168314
19,Stile near: SD51426 88121,-2.7476502,54.286394
20,Stile near: SD51483 88711,-2.7468718,54.291708
21,Stile near: SD51464 88980,-2.7472059,54.294117
22,Stile near: SD51368 89111,-2.7486951,54.295287
23,Stile near: NY28773 18133,-3.1027806,54.553406
24,Stile near: NY29591 27831,-3.0924645,54.640658
25,Stile near: NY29374 28783,-3.0960565,54.649183
26,Stile near: NY32745 03558,-3.0380457,54.422986
27,Stile near: NY29682 05200,-3.0856322,54.43733
28,Stile near: NY33431 03160,-3.0273864,54.419505
29,Stile near: NY33190 03028,-3.0310705,54.418286
30,Stile near: NY08420 14072,-3.4160994,54.513643
31,Stile near: NX98505 14190,-3.5692235,54.512812
32,Stile near: NX99291 14326,-3.5571445,54.51419
33,Stile near: NY00849 13940,-3.532959,54.511031
34,Stile near: NY10354 14773,-3.3864486,54.520293
35,Stile near: NY10997 14342,-3.3763802,54.516527
36,Stile near: NY12276 13908,-3.3565008,54.512857
37,Stile near: NY12406 13863,-3.3544822,54.512473
38,Stile near: NY12913 13947,-3.3466806,54.513314
39,Stile near: NY13036 13868,-3.3447541,54.512623
40,Stile near: NY14574 14129,-3.3210857,54.515236
41,Stile near: NY20800 12422,-3.2244865,54.500913
42,Stile near: NY24229 14120,-3.1719758,54.516693
43,Stile near: NY24423 14077,-3.1689794,54.516328
44,Stile near: NY24639 14024,-3.1656257,54.515885
45,Stile near: NY24623 13855,-3.1658309,54.514368
46,Stile near: NY25227 14009,-3.1565442,54.515837
47,Stile near: NY25391 14059,-3.1540219,54.516316
48,Stile near: NY25639 14360,-3.150259,54.519055
49,Stile near: NY25640 14395,-3.150259,54.519369
50,Stile near: NY25706 14521,-3.1492641,54.520508
51,Stile near: NY27271 13129,-3.1247493,54.508234
52,Stile near: NY42229 13788,-2.893909,54.516083
53,Stile near: NY51123 16006,-2.7569069,54.536947
54,Stile near: NY51755 16105,-2.7471541,54.537897
55,Stile near: NY52555 16275,-2.7348158,54.539503
56,Stile near: NY52698 16337,-2.7326095,54.540077
57,Stile near: NY52885 16301,-2.7297196,54.539769
58,Stile near: NY53466 16248,-2.7207282,54.539349
59,Stile near: NY62491 08263,-2.5802333,54.468343
60,Stile near: NY62899 08291,-2.5739479,54.468622
61,Stile near: NY64563 08279,-2.5482643,54.468636
62,Stile near: NY71603 06752,-2.4395047,54.45536
63,Stile near: NY75630 07483,-2.3774621,54.462138
64,Stile near: NY76156 07695,-2.3693516,54.464063
65,Stile near: NY76360 07746,-2.3662148,54.464531
66,Stile near: SD54352 78077,-2.7011772,54.196403
67,Stile near: SD49430 79590,-2.7768669,54.209545
68,Stile near: SD53291 76424,-2.7171775,54.181454
69,Stile near: SD53542 76134,-2.7132776,54.178876
70,Stile near: SD53241 75678,-2.7178178,54.174752
71,Stile near: SD52790 77264,-2.7249845,54.188961
72,Stile near: SD46316 98748,-2.8280408,54.38138
73,Stile near: SD49408 98788,-2.7804607,54.382058
74,Stile near: SD49589 98668,-2.7776419,54.380995
75,Stile near: SD48711 97978,-2.7910401,54.374714
76,Stile near: SD48252 98009,-2.7981126,54.374939
77,Stile near: SD48549 97919,-2.7935292,54.374164
78,Stile near: SD48342 98026,-2.7967393,54.375104
79,Stile near: SD52170 76259,-2.7343286,54.179869
80,Stile near: SD55968 76858,-2.6762158,54.185594
81,Stile near: NY15737 21707,-3.3052923,54.583509
82,Stile near: NY16660 18832,-3.2902086,54.557833
83,Stile near: NY17298 18260,-3.2801812,54.552801
84,Stile near: NY01218 09779,-3.5258614,54.473728
85,Stile near: NY01062 09331,-3.528123,54.469668
86,Stile near: SD45106 76580,-2.8426002,54.182045
87,Stile near: SD45026 76413,-2.8437914,54.180535
88,Stile near: NY47591 04968,-2.8095164,54.437409
89,Stile near: SD54516 77612,-2.6985834,54.192239
90,Stile near: NY12550 01829,-3.3487021,54.404377
91,Stile near: NY12430 01916,-3.3505734,54.405136
92,Stile near: NY01779 09786,-3.5172128,54.473896
93,Stile near: NY01869 09674,-3.5157941,54.472908
94,Stile near: NY01197 09696,-3.5261675,54.472976
95,Stile near: NY00933 09175,-3.5300516,54.468241
96,Stile near: NY08477 15036,-3.4155211,54.522316
97,Stile near: NY53206 18393,-2.725094,54.558595
98,Stile near: SD41190 80284,-2.9033113,54.214892
99,Stile near: NY00627 08855,-3.5346759,54.465312
100,Stile near: NY00786 09142,-3.5323122,54.467917
101,Stile near: NY00824 09218,-3.5317521,54.468608
102,Stile near: NY00914 09313,-3.5304032,54.469477
103,Stile near: NY01128 09500,-3.5271558,54.4712
104,Stile near: NY00990 10165,-3.5295117,54.477149
105,Stile near: NY29056 23599,-3.0997278,54.602563
106,Stile near: SD50856 82409,-2.7554675,54.235015
107,Stile near: SD24618 84789,-3.1585177,54.253199
